data,algorithm,time,orc_time,alpha,nmi,ari,nf1,#com,merge,merge_avg,orc_node,orc_edge
polbooks,CMS,0.452135563,0.437244892,0.4,0.277149095,0.205403841,0.132444444,5,"[4, 8, 21, 5, 2]",8,"[0.20160791589363036, 0.16837078009318857, 0.00821728170126363, 0.22695082695082727, 0.5895833333333333]","[0.14112554112554127, 0.04209269502329714, 0.0023073155515863394, 0.10401912901912917, 0.39305555555555555]"
polbooks,CMS,0.463642836,0.453783035,0.5,0.21728035,0.087638704,0.027555556,5,"[4, 5, 23, 5, 2]",7.8,"[0.20160791589363036, 0.24739694041867985, 0.11755302810290062, 0.22695082695082727, 0.5895833333333333]","[0.14112554112554127, 0.07136450204384995, 0.035369937659279836, 0.10401912901912917, 0.39305555555555555]"
polbooks,CMS,0.441309929,0.42974329,0.6,0.21074992,0.081808135,0.027777778,5,"[4, 5, 23, 3, 5]",8,"[0.20160791589363036, 0.26506815044858556, 0.036900581040467874, 0.3738162878787882, 0.22695082695082727]","[0.14112554112554127, 0.07731154388083745, 0.01299051067240961, 0.24921085858585879, 0.10401912901912917]"
polbooks,CMS,0.452877045,0.438967466,0.7,0.21074992,0.081808135,0.027777778,5,"[4, 5, 23, 3, 5]",8,"[0.20160791589363036, 0.26506815044858556, 0.030211560126494258, 0.3738162878787882, 0.22695082695082727]","[0.14112554112554127, 0.07731154388083745, 0.0106357022894291, 0.24921085858585879, 0.10401912901912917]"
polbooks,CMS,0.473663092,0.462244749,0.8,0.186288762,0.067725962,0.028222222,5,"[4, 4, 24, 3, 5]",8,"[0.20160791589363036, 0.37109541062801976, 0.030587296612460648, 0.3738162878787882, 0.22695082695082727]","[0.14112554112554127, 0.12369847020933993, 0.010839187634512753, 0.24921085858585879, 0.10401912901912917]"
polbooks,CMS,0.44289279,0.431999683,0.9,0.228256682,0.098987239,0.028666667,5,"[4, 23, 6, 4, 2]",7.8,"[0.20160791589363036, -0.0009172752107532014, 0.06820436507936514, 0.26581632653061216, 0.2693121693121694]","[0.14112554112554127, -0.00024416678271847806, 0.045469576719576764, 0.15505952380952376, 0.2693121693121694]"
polbooks,CMS,0.458851337,0.444523573,1,0.228256682,0.098987239,0.028666667,5,"[4, 23, 6, 4, 2]",7.8,"[0.20160791589363036, -0.0009172752107532014, 0.06820436507936514, 0.26581632653061216, 0.2693121693121694]","[0.14112554112554127, -0.00024416678271847806, 0.045469576719576764, 0.15505952380952376, 0.2693121693121694]"
football,CMS,0.452869177,0.439131737,0,0.429475917,0.191065448,0.048452381,8,"[0, 45, 0, 0, 1, 0, 21, 39]",13.25,"[0.0, -0.046087393693776596, 0.0, 0.0, 0.09999999999999998, 0.0, 0.03502066115702505, 0.22685606060606095]","[0, -0.011521848423444149, 0, 0, 0.19999999999999996, 0, 0.010700757575757653, 0.05969896331738447]"
football,CMS,0.447081089,0.433122158,0.1,0.777051023,0.398462242,0.439444444,8,"[13, 7, 6, 7, 6, 5, 4, 5]",6.625,"[-0.06900177368927346, 1.131313131313132, 0.6790633608815434, 0.9548484848484854, 0.7912878787878795, 0.7090909090909095, 0.5232323232323236, 0.945286195286196]","[-0.017806909339167346, 0.282828282828283, 0.16976584022038585, 0.23871212121212135, 0.19782196969696988, 0.2363636363636365, 0.15190615835777138, 0.236321548821549]"
football,CMS,0.45751667,0.441438913,0.2,0.8200055,0.499685764,0.464444444,8,"[10, 6, 4, 6, 6, 6, 4, 4]",5.75,"[0.14876044498137556, 1.131313131313132, 0.6790633608815434, 0.5628205128205136, 0.9548484848484854, 0.7912878787878795, 0.8465909090909096, 0.945286195286196]","[0.04074330658725572, 0.282828282828283, 0.16976584022038585, 0.14633333333333354, 0.23871212121212135, 0.19782196969696988, 0.24188311688311703, 0.236321548821549]"
football,CMS,0.46450901,0.443366528,0.3,0.8200055,0.499685764,0.464444444,8,"[10, 6, 4, 7, 6, 5, 4, 4]",5.75,"[0.20538776469009068, 1.131313131313132, 0.6790633608815434, 0.545337995337996, 0.9548484848484854, 0.7912878787878798, 0.8465909090909096, 0.945286195286196]","[0.05625269988327324, 0.282828282828283, 0.16976584022038585, 0.14178787878787896, 0.23871212121212135, 0.19782196969696994, 0.24188311688311703, 0.236321548821549]"
football,CMS,0.458371401,0.440751314,0.4,0.81428801,0.521603705,0.459444444,8,"[9, 6, 4, 8, 6, 5, 4, 4]",5.75,"[0.07661886724386746, 1.131313131313132, 0.6790633608815434, 0.39195864898989946, 0.9548484848484854, 0.7912878787878798, 0.8465909090909096, 0.945286195286196]","[0.020568823421172472, 0.282828282828283, 0.16976584022038585, 0.1100234804182174, 0.23871212121212135, 0.19782196969696994, 0.24188311688311703, 0.236321548821549]"
football,CMS,0.451329708,0.435293436,0.5,0.759407002,0.449152767,0.311354167,8,"[8, 6, 4, 7, 6, 4, 3, 4]",5.25,"[-0.006527777777777621, 1.131313131313132, 0.6790633608815434, 0.39195864898989957, 0.25738636363636397, 0.6280303030303033, 0.8465909090909096, 0.945286195286196]","[-0.0016631280962490756, 0.282828282828283, 0.16976584022038585, 0.11002348041821743, 0.08236363636363647, 0.25121212121212133, 0.24188311688311703, 0.236321548821549]"
football,CMS,0.45167017,0.436707973,0.6,0.838239916,0.58007946,0.475,8,"[10, 6, 4, 5, 7, 3, 5, 4]",5.5,"[0.09834213988625781, 1.131313131313132, 0.6790633608815434, 0.6236111111111119, 0.06618457300275489, 0.8465909090909096, 0.4009090909090913, 0.945286195286196]","[0.028335870814684454, 0.282828282828283, 0.16976584022038585, 0.15590277777777797, 0.016360231528770874, 0.24188311688311703, 0.12148760330578524, 0.236321548821549]"
football,CMS,0.452854633,0.436308146,0.7,0.825709482,0.525716853,0.458888889,8,"[10, 5, 4, 5, 6, 4, 6, 4]",5.5,"[-0.021570231936085375, 1.131313131313132, 0.6790633608815434, 0.6236111111111119, 0.9548484848484854, 0.7912878787878798, 0.3438016528925623, 0.945286195286196]","[-0.005632990505601914, 0.282828282828283, 0.16976584022038585, 0.15590277777777797, 0.23871212121212135, 0.19782196969696994, 0.11122994652406429, 0.236321548821549]"
football,CMS,0.451311827,0.437517166,0.8,0.825709482,0.525716853,0.458888889,8,"[10, 5, 4, 5, 6, 4, 6, 4]",5.5,"[-0.021570231936085375, 1.131313131313132, 0.6790633608815434, 0.6236111111111119, 0.9548484848484854, 0.7912878787878798, 0.3438016528925623, 0.945286195286196]","[-0.005632990505601914, 0.282828282828283, 0.16976584022038585, 0.15590277777777797, 0.23871212121212135, 0.19782196969696994, 0.11122994652406429, 0.236321548821549]"
football,CMS,0.450903654,0.435335159,0.9,0.768829909,0.408407704,0.408205128,8,"[11, 5, 3, 4, 5, 6, 6, 4]",5.5,"[-0.09157340886064268, 1.131313131313132, 0.5462121212121217, 0.6790633608815434, 0.6236111111111119, 0.9548484848484854, 0.3438016528925623, 0.945286195286196]","[-0.023648078112363767, 0.282828282828283, 0.2184848484848487, 0.16976584022038585, 0.15590277777777797, 0.23871212121212135, 0.11122994652406429, 0.236321548821549]"
football,CMS,0.448171616,0.432695866,1,0.768829909,0.408407704,0.408205128,8,"[11, 5, 3, 4, 5, 6, 6, 4]",5.5,"[-0.09157340886064268, 1.131313131313132, 0.5462121212121217, 0.6790633608815434, 0.6236111111111119, 0.9548484848484854, 0.3438016528925623, 0.945286195286196]","[-0.023648078112363767, 0.282828282828283, 0.2184848484848487, 0.16976584022038585, 0.15590277777777797, 0.23871212121212135, 0.11122994652406429, 0.236321548821549]"
